;E:\FINAN\24\models\v03\AS2-V03.tbl+

;Mapping AS2-V04	(JaB 06-08-2009, alfabetisch)
OVKORTKRED3-3         OVOVERLPAS-3
OVKORTKRED4-0         OVOVERLPAS-0
OVKORTKRED4-1         OVOVERLPAS-1
OVKORTKRED4-2         OVOVERLPAS-2
OVKORTKRED4-3         OVOVERLPAS-3
OVOVERLAKTHERW-1      OVOVERLAKTTAX-1
OVOVERLAKTHERW-2      OVOVERLAKTTAX-2
OVOVERLAKTHERW-3      OVOVERLAKTTAX-3
OVRESCORR-1              OVRESCORR2-1      
OVRESCORR-2              OVRESCORR2-2      
OVRESCORR3-1          OVRESCORR2-1
OVRESCORR3-2          OVRESCORR2-2
OVRESCORR3-3          OVRESCORR2-3
OVVORD2-0             OVOVERLAKT-0
OVVORD2-1             OVOVERLAKT-1
OVVORD2-2             OVOVERLAKT-2
OVVORD2-3             OVOVERLAKT-3
OVVORD2HERW-1         OVOVERLAKTTAX-1
OVVORD2HERW-2         OVOVERLAKTTAX-2
OVVORD2HERW-3         OVOVERLAKTTAX-3
OVVORD3-0             OVOVERLAKT-0
OVVORD3-1             OVOVERLAKT-1
OVVORD3-2             OVOVERLAKT-2
OVVORD3-3             OVOVERLAKT-3
OVVORD3HERW-1         OVOVERLAKTTAX-1
OVVORD3HERW-2         OVOVERLAKTTAX-2
OVVORD3HERW-3         OVOVERLAKTTAX-3
OVVORDHERW-1          OVVORDTAX-1
OVVORDHERW-2          OVVORDTAX-2
OVVORDHERW-3          OVVORDTAX-3
OVVRDHERW-1           OVVRDTAX-1
OVVRDHERW-2           OVVRDTAX-2
OVVRDHERW-3           OVVRDTAX-3
PENSDOTDIR-1          PENSDOT-1
PENSDOTDIR-2          PENSDOT-2
PENSDOTPERS-1         PENSDOT-1
PENSDOTPERS-2         PENSDOT-2
PENSPREMDIR-1         PENSPREM-1
PENSPREMDIR-2         PENSPREM-2
PENSPREMPERS-1        PENSPREM-1
PENSPREMPERS-2        PENSPREM-2
PENSVOORZDIR-1        PENSVOORZ-1
PENSVOORZDIR-2        PENSVOORZ-2
PENSVOORZPERS-1       PENSVOORZ-1
PENSVOORZPERS-2       PENSVOORZ-2
                  
                  
                  
;PRIVEOPN-1               UITWINST-1
PRIVE1SCHULD5-1          PRIVE1SCHULD4-1                  
PRIVE1SCHULD5-2          PRIVE1SCHULD4-2       
PRIVE1SCHULD5-3          PRIVE1SCHULD4-3        
PRIVE2SCHULD5-1          PRIVE2SCHULD4-1
PRIVE2SCHULD5-2          PRIVE2SCHULD4-2
PRIVE2SCHULD5-3          PRIVE2SCHULD4-3
PRIVE3SCHULD5-1          PRIVE3SCHULD4-1
PRIVE3SCHULD5-2          PRIVE3SCHULD4-2
PRIVE3SCHULD5-3          PRIVE3SCHULD4-3        
                  
PRODVRDHERW-1         PRODVRDTAX-1
PRODVRDHERW-2         PRODVRDTAX-2
PRODVRDHERW-3         PRODVRDTAX-3
RCRED-1               ROVKORTKRED-1
RCRED-2               ROVKORTKRED-2
RCRED-3               ROVKORTKRED-3
;RECHTSVORM-1             RECHTSVORMOUD-1
;RECHTSVORM-2             RECHTSVORMOUD-2
;RECHTSVORM-3             RECHTSVORMOUD-3
RKORTFISKRED-1        ROVKORTKRED-1
RKORTFISKRED-2        ROVKORTKRED-2
RKORTFISKRED-3        ROVKORTKRED-3
RKORTPARTKRED-1       ROVKORTKRED-1
RKORTPARTKRED-2       ROVKORTKRED-2
RKORTPARTKRED-3       ROVKORTKRED-3
;RKRED6-1                 RKRED5-1          
;RKRED6-2                 RKRED5-2          
;RKRED7-1                 RKRED5-1          
;RKRED7-2                 RKRED5-2          
RLIQEFFECTEN-1        KOERSRESEFFECTEN-1
RLIQEFFECTEN-2        KOERSRESEFFECTEN-2
RLIQEFFECTEN-3        KOERSRESEFFECTEN-3
ROVKORTKRED2-1        ROVKORTKRED-1
ROVKORTKRED2-2        ROVKORTKRED-2
ROVKORTKRED2-3        ROVKORTKRED-3
ROVKORTKRED3-1        ROVKORTKRED-1
ROVKORTKRED3-2        ROVKORTKRED-2
ROVKORTKRED3-3        ROVKORTKRED-3
ROVKORTKRED4-1        ROVKORTKRED-1
ROVKORTKRED4-2        ROVKORTKRED-2
ROVKORTKRED4-3        ROVKORTKRED-3
STAMDOTDIR-1          ROVKORTKRED-1
STAMDOTDIR-2          ROVKORTKRED-2
STAMDOTDIR-3          ROVKORTKRED-3
STORTING1-1
STORTING2-1
STORTING3-1
TEONTVWIRHERW-1       TEONTVWIRTAX-1
TEONTVWIRHERW-2       TEONTVWIRTAX-2
TEONTVWIRHERW-3       TEONTVWIRTAX-3
TOEOVERIGE-1          TOEVERMAANSL-1
TOEOVERIGE-2          TOEVERMAANSL-2
TOEOVERIGE-3          TOEVERMAANSL-3
UITWINST-1               UITWINSTSTRUCT-1
UITWINST-2               UITWINSTSTRUCT-2
UITWINST-3               UITWINSTSTRUCT-3
VOORBETBELHERW-1      VOORBETBELTAX-1
VOORBETBELHERW-2      VOORBETBELTAX-2
VOORBETBELHERW-3      VOORBETBELTAX-3
VOORVRDHERW-1         VOORVRDTAX-1
VOORVRDHERW-2         VOORVRDTAX-2
VOORVRDHERW-3         VOORVRDTAX-3
VOORZDEBHERW-1        VOORZDEBTAX-1
VOORZDEBHERW-2        VOORZDEBTAX-2
VOORZDEBHERW-3        VOORZDEBTAX-3
VOORZK-0                 OVOVK4-0
VOORZK-1              OVOVK4-1
VOORZK-2              OVOVK4-2
VOORZK-3                 OVOVK4-3
VOORZVRDHERW-1        VOORZVRDTAX-1
VOORZVRDHERW-2        VOORZVRDTAX-2
VOORZVRDHERW-3        VOORZVRDTAX-3
                  
VRIJVALWIR-1          OVRESCORR2-1
VRIJVALWIR-2          OVRESCORR2-2
VRIJVALWIR-3          OVRESCORR2-3
;VRKRED6-2                VRKRED5-2         
;VRKRED7-2                VRKRED5-2         

CorrHandDeb-1            TEMP_corrhanddeb-1

LBCorrAkt9-1             LBCorrAktP-1
LBCorrAkt9-2             LBCorrAktP-2
LBCorrAkt9-3             LBCorrAktP-3
LBCorrAktA-1             LBCorrAktN-1
LBCorrAktA-2             LBCorrAktN-2
LBCorrAktA-3             LBCorrAktN-3
LBCorrAktB-1             LBCorrAktM-1
LBCorrAktB-2             LBCorrAktM-2
LBCorrAktB-3             LBCorrAktM-3

Rentelasten_NieuwAflCap-1 SNS_Rentelasten_NieuwAflCap-1
Rentelasten_NieuwAflCap-2 SNS_Rentelasten_NieuwAflCap-2
Rentelasten_NieuwAflCap-3 SNS_Rentelasten_NieuwAflCap-3
AflLangVV_nieuw-1         SNS_AflLangVV_nieuw-1
AflLangVV_nieuw-2         SNS_AflLangVV_nieuw-2
AflLangVV_nieuw-3         SNS_AflLangVV_nieuw-3
