1;omschrijving;level;VT12;controle;soort;VLB;control2;soort2;;klopt dit?;;;;;;;mate van belangrijkheid
94;Interne id van het perceel [typed member];5;InternalIDParcelTypedMember;InternalIDParcelTypedMember;String;;; ;3;;;;;;;;3
95;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
96;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;; ;3;;;;;;;;3
97;Kadastrale verkoopdatum;5;LandRegisterParcelSalesDate;LandRegisterParcelSalesDate;Date;;; ;3;;;;;;;;3
98;Kadastrale verkoopprijs;5;LandRegisterParcelSalesPrice;LandRegisterParcelSalesPrice;Monetary;;; ;3;;;;;;;;3
99;Erfpachtcontracten van het object;5;ObjectGroundLeaseAgreements;ObjectGroundLeaseAgreements;Abstract;;;;3;;;;;;;;3
100;Interne id van het perceel [as];5;InternalIDParcelAxis;InternalIDParcelAxis;Abstract;;;;3;;;;;;;;3
101;Interne id van het perceel [typed member];5;InternalIDParcelTypedMember;InternalIDParcelTypedMember;String;;;;3;;;;;;;;3
102;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
103;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
104;Jaar van eerste ingebruikname;5;FirstYearOfUse;FirstYearOfUse;String;; ; ;3;;;;;;;;3
105;Gebruikssituatie van het object [titel];4;ObjectUsageTitle;ObjectUsageTitle;Abstract;; ; ;3;;;;;;;;0
106;Gebruikssituatie van het object;5;ObjectUsage;ObjectUsage;Abstract;;; ;3;;;;;;;;3
107;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
108;Interne id van het onderpand / object [typed member];;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
109;Verhuurde oppervlakte;5;AreaLeased;AreaLeased;String;FvL_CVLocatie_tpVVOm2VerhuurdLocatie_ti001;FvL_CVLocatie_tpVVOm2VerhuurdLocatie_ti001;Number;3;;;;;;;;1
110; ;5;;;;FvL_CVLocatie_tpVVOm2OnverhuurdLocatie_ti001;FvL_CVLocatie_tpVVOm2OnverhuurdLocatie_ti001;Number;3;;;;;;;;1
111;Bezettingspercentage;5;OccupancyRate;OccupancyRate;Number;;;;3;;;;;;;;1
112;Basishuur per jaar;5;ContractRentPerYear;ContractRentPerYear;Monetary;; ; ;3;;;;;;;;1
113;Datum van basishuur schatting;5;EstimateHeadlineRentDate;EstimateHeadlineRentDate;Date;; ; ;3;;;;;;;;3
114;Kredietkwaliteit hoofdhuurder;5;CreditQualityAnchorTenant;CreditQualityAnchorTenant;Enumeration;FvL_CVLocatie_tpObject_tpHuurders_tpKwaliteitHuurder_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpKwaliteitHuurder_ti001_ti001_ti001;Number;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;1
115;Mediaan kredietkwaliteit huurders;5;MedianCreditQualityTenants;MedianCreditQualityTenants;Enumeration;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;3
116;Aantal huurders;5;NumberOfTenants;NumberOfTenants;Number;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;2
117;Algemene huurinformatie van het object;5;ObjectGeneralLeaseInformation;ObjectGeneralLeaseInformation;Abstract;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;3
118;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
119;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;; ; ;3;;;;;;;;3
120;Naam huurder;5;TenantName;TenantName;String;FvL_CVLocatie_tpObject_tpHuurders_tpNaamHuurder_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpNaamHuurder_ti001_ti001_ti001;String;3;;;;;;;;1
121;Soort huurder;5;TenantType;TenantType;String;;;;3;;;;;;;;2
122;Registratienummer bij de Kamer van Koophandel van de huurder;5;TenantChamberOfCommerceRegistrationNumber;TenantChamberOfCommerceRegistrationNumber;String;; ; ;3;;;;;;;;3
123;Hoofdhuurder;5;AnchorTenant;AnchorTenant;String;; ; ;3;;;;;;;;3
124;Kredietkwaliteit hoofdhuurder;5;CreditQualityAnchorTenant;CreditQualityAnchorTenant;Enumeration;FvL_CVLocatie_tpObject_tpHuurders_tpKwaliteitHuurder_ti001_ti001_ti001;FvL_CVLocatie_tpObject_tpHuurders_tpKwaliteitHuurder_ti001_ti001_ti001;Number;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;1
125;Kredietkwaliteit huurder;5;CreditQualityTenant;CreditQualityTenant;Enumeration;; ; ;3;;;;;;;;3
126;NAICS-code;5;NAICSCode;NAICSCode;String;;; ;3;;;;;;;;3
127;Huurregels van het object;5;ObjectLeaseCharges;ObjectLeaseCharges;Abstract;;; ;3;;;;;;;;3
128;Interne id van de huurregels [as];5;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;;; ;3;;;;;;;;3
129;Interne id van de huurregels [typed member];5;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;;; ;3;;;;;;;;3
130;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
131;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;; ; ;3;;;;;;;;3
132;Inkomenscategorie;5;IncomeCategory;IncomeCategory;String;; ; ;3;;;;;;;;3
133;Betalingsfrequentie;5;PaymentFrequency;PaymentFrequency;String;; ; ;3;;;;;;;;3
134;Huur is BTW-belast;5;LeaseVATChargeable;LeaseVATChargeable;Enumeration;; ; ;3;;;;;;;;3
135;BTW-percentage van toepassing op huurregel;5;LeaseVAT;LeaseVAT;Number;; ; ;3;;;;;;;;3
136;Huur is rentedragend;5;LeaseInterestChargeable;LeaseInterestChargeable;Enumeration;; ; ;3;;;;;;;;3
137;Huurcommissiezaak op huurprijs;5;RentCommissionAuthorityCase;RentCommissionAuthorityCase;Enumeration;; ; ;3;;;;;;;;3
138;Te facturereren bedrag;5;AmountInvoiced;AmountInvoiced;Monetary;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;2
139;Huur op startdatum;5;StartingRent;StartingRent;Monetary;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;2
140;Start betalingsschema;5;StartPaymentSchedule;StartPaymentSchedule;Date;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;2
141;Einde betalingsschema;5;EndPaymentSchedule;EndPaymentSchedule;Date;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;2
142;Voorschot;5;AdvancePayment;AdvancePayment;Enumeration;; ; ;3;;;;;;;;3
143;Informatie over huurregelreferentie;5;ObjectLeaseChargeInformationReference;ObjectLeaseChargeInformationReference;Abstract;;; ;3;;;;;;;;3
144;Interne id van de huurregels [as];5;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;;; ;3;;;;;;;;3
145;Interne id van de huurregels [typed member];5;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;;; ;3;;;;;;;;3
146;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
147;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
